COD_PDV_Origem;COD_PDV_Destino;saving_distancia_km;saving_tempo_min
7;27;50.213;65.93333333333334
5;45;47.786;59.083333333333336
7;5;47.401;58.65
7;45;47.401;58.55
5;27;45.198;52.2
5;7;45.198;52.36666666666667
7;28;44.929;53.78333333333333
26;28;44.303;68.25
1;27;44.026;68.48333333333333
14;45;43.992;53.11666666666667
47;27;43.714;64.86666666666666
20;28;43.545;69.98333333333333
7;36;43.442;58.916666666666664
14;5;43.314;51.55
7;26;43.263;56.6
7;29;43.22;58.06666666666667
33;27;43.105;63.31666666666667
1;7;43.043;65.8
14;7;42.762;50.86666666666667
14;27;42.762;50.666666666666664
28;26;42.702;72.26666666666667
9;27;42.612;63.21666666666667
10;27;42.606;61.71666666666667
28;27;42.531;57.483333333333334
22;28;42.322;60.083333333333336
36;27;42.306;59.81666666666667
29;27;42.299;59.53333333333333
47;7;42.245;60.31666666666667
26;27;42.129;56.75
5;14;42.084;49.56666666666667
7;14;42.084;50.233333333333334
11;27;42.076;61.71666666666667
49;27;42.075;61.483333333333334
7;2;41.761;53.0
24;27;41.601;60.03333333333333
20;26;41.441;72.4
38;27;41.425;64.66666666666667
36;28;41.39;63.18333333333333
20;27;41.27;57.65
33;7;41.235;58.86666666666667
47;28;41.044;61.71666666666667
9;7;40.997;59.1
49;7;40.996;59.03333333333333
38;7;40.968;64.15
28;7;40.838;52.03333333333333
29;7;40.83;54.95
10;7;40.737;57.333333333333336
45;5;40.553;61.43333333333333
27;7;40.486;63.4
1;28;40.475;64.73333333333333
7;1;40.452;67.98333333333333
26;7;40.436;51.35
36;7;40.436;55.0
45;7;40.323;61.21666666666667
7;37;40.299;46.25
28;36;40.241;65.18333333333334
11;7;40.206;57.266666666666666
29;28;40.171;58.5
2;27;40.169;51.583333333333336
7;38;40.011;65.4
26;36;39.958;64.41666666666667
47;36;39.953;68.26666666666667
45;27;39.932;58.25
35;27;39.782;52.233333333333334
33;28;39.782;58.06666666666667
50;27;39.751;50.266666666666666
24;7;39.731;55.38333333333333
2;28;39.709;58.15
36;26;39.674;66.53333333333333
47;5;39.673;53.483333333333334
47;45;39.673;53.61666666666667
22;26;39.638;61.666666666666664
20;7;39.577;52.15
41;27;39.535;55.25
7;47;39.513;63.15
50;28;39.493;57.266666666666666
22;27;39.49;47.95
47;29;39.487;66.56666666666666
5;28;39.476;36.93333333333333
1;5;39.424;54.63333333333333
1;45;39.423;54.71666666666667
47;26;39.378;64.28333333333333
28;29;39.377;62.55
7;20;39.306;56.6
37;27;39.278;48.28333333333333
11;45;39.258;52.18333333333333
29;36;39.228;64.25
7;9;39.215;61.916666666666664
36;29;39.195;67.03333333333333
26;29;39.094;61.983333333333334
17;27;39.048;54.266666666666666
1;36;39.038;66.96666666666667
13;27;39.018;52.8
20;36;38.981;65.16666666666667
7;10;38.973;61.15
31;43;38.961;56.016666666666666
48;27;38.917;53.083333333333336
10;28;38.911;55.75
1;29;38.816;66.21666666666667
7;11;38.768;61.15
18;28;38.752;56.43333333333333
44;28;38.752;56.35
33;36;38.75;66.0
7;49;38.719;60.06666666666667
48;45;38.715;55.81666666666667
41;7;38.709;55.75
2;7;38.701;46.95
33;5;38.663;52.06666666666667
33;45;38.663;52.083333333333336
26;20;38.63;71.7
28;20;38.63;71.8
41;45;38.608;54.583333333333336
24;45;38.513;50.483333333333334
44;18;38.495;58.05
29;26;38.455;61.9
22;2;38.455;56.0
9;28;38.426;54.483333333333334
9;5;38.425;52.38333333333333
9;45;38.425;52.31666666666667
49;5;38.425;52.416666666666664
49;45;38.424;52.38333333333333
28;2;38.408;61.38333333333333
26;2;38.408;61.233333333333334
11;28;38.38;55.65
5;36;38.368;43.95
38;5;38.314;57.21666666666667
38;45;38.314;57.21666666666667
7;33;38.304;60.05
50;7;38.283;45.7
29;5;38.258;48.13333333333333
29;45;38.258;48.21666666666667
48;7;38.207;55.03333333333333
23;27;38.199;49.78333333333333
28;5;38.184;44.833333333333336
28;45;38.184;45.06666666666667
10;5;38.165;50.55
10;45;38.165;50.61666666666667
49;28;38.122;53.03333333333333
20;29;38.116;62.75
33;26;38.066;61.55
36;2;38.058;62.31666666666667
20;2;38.056;62.583333333333336
47;2;38.028;61.68333333333333
29;2;38.028;61.81666666666667
13;7;38.01;50.78333333333333
10;36;37.992;63.85
1;26;37.954;65.68333333333334
27;5;37.915;56.7
27;45;37.914;56.7
35;7;37.912;47.31666666666667
24;28;37.905;53.65
2;36;37.904;59.7
10;29;37.895;61.68333333333333
33;29;37.886;63.583333333333336
36;45;37.864;48.05
36;5;37.864;48.1
22;7;37.797;42.55
26;5;37.782;44.06666666666667
26;45;37.782;44.166666666666664
13;45;37.77;50.96666666666667
5;26;37.76;40.483333333333334
22;29;37.726;54.45
5;29;37.718;41.583333333333336
17;7;37.712;51.68333333333333
50;36;37.687;58.766666666666666
50;2;37.662;60.333333333333336
11;5;37.634;50.516666666666666
2;26;37.606;60.78333333333333
27;28;37.506;57.483333333333334
18;31;37.466;53.5
44;31;37.466;53.36666666666667
18;43;37.465;53.666666666666664
44;43;37.465;53.516666666666666
11;36;37.461;63.78333333333333
2;29;37.46;59.13333333333333
42;45;37.419;51.03333333333333
7;24;37.418;56.36666666666667
37;7;37.408;43.61666666666667
9;36;37.395;62.733333333333334
50;26;37.389;59.9
11;29;37.364;61.65
1;2;37.357;61.31666666666667
42;27;37.341;48.1
7;13;37.334;54.05
22;36;37.319;55.75
22;20;37.287;64.18333333333334
10;26;37.194;59.15
17;45;37.163;50.583333333333336
24;5;37.159;48.55
35;28;37.122;50.6
49;36;37.091;60.93333333333333
23;45;37.082;49.8
