ROTA_NUMERO;tipo_rota;qtde_pdvs;sequencia_pdvs;peso_total_kg;utilizacao_peso_perc;volume_total_m3;tempo_total_min;utilizacao_tempo_perc;tempo_atendimento_min;tempo_deslocamento_min;distancia_total_km;distancia_deslocamento_km;distancia_laco_km;qtde_caixas_LATA;qtde_caixas_PET;qtde_caixas_GARRAFA
D1;Dedicada;1;CDD -> 15 -> CDD;11999.1;99.99;27.8;451.67;88.56;417.0;34.67;22.31;22.31;0.0;0;207;411
D2;Dedicada;1;CDD -> 26 -> CDD;11997.6;99.98;27.09;492.11;96.49;419.33;72.78;42.76;42.76;0.0;2;122;456
R1;Clusterizada;5;CDD -> 10 -> 47 -> 1 -> 36 -> 29 -> CDD;8813.7;73.45;20.17;504.24;98.87;410.34;93.9;40.8;35.11;5.69;241;174;243
R10;Clusterizada;12;CDD -> 17 -> 48 -> 13 -> 38 -> 49 -> 9 -> 11 -> 24 -> 33 -> 20 -> 50 -> 37 -> CDD;6111.0;50.92;12.91;509.5;99.9;387.35;122.15;46.94;30.92;16.02;208;0;225
R2;Clusterizada;7;CDD -> 14 -> 5 -> 45 -> 7 -> 27 -> 28 -> 26 -> CDD;4215.0;35.12;8.38;487.11;95.51;373.99;113.12;59.22;42.7;16.52;463;5;90
R3;Clusterizada;2;CDD -> 32 -> 15 -> CDD;5645.5;47.05;13.75;361.87;70.95;313.0;48.87;31.16;26.67;4.5;331;250;47
R4;Clusterizada;1;CDD -> 18 -> CDD;10592.6;88.27;24.2;489.42;95.96;426.0;63.42;39.66;39.66;0.0;345;217;277
R5;Clusterizada;2;CDD -> 16 -> 19 -> CDD;11786.8;98.22;29.2;509.73;99.95;443.33;66.4;36.06;25.07;10.99;221;481;212
R6;Clusterizada;2;CDD -> 22 -> 2 -> CDD;10081.8;84.02;22.44;485.97;95.29;412.0;73.97;38.74;35.68;3.06;269;121;321
R7;Clusterizada;7;CDD -> 30 -> 25 -> 12 -> 6 -> 46 -> 21 -> 8 -> CDD;3853.5;32.11;8.11;330.83;64.87;240.33;90.5;41.19;15.8;25.39;151;0;138
R8;Clusterizada;5;CDD -> 34 -> 23 -> 42 -> 41 -> 35 -> CDD;9478.8;78.99;22.53;499.51;97.94;419.33;80.18;35.62;29.67;5.95;202;276;225
R9;Clusterizada;7;CDD -> 39 -> 31 -> 43 -> 44 -> 3 -> 4 -> 40 -> CDD;7641.9;63.68;18.03;507.11;99.43;397.66;109.45;56.74;32.16;24.58;213;218;174
