linha;saving_km;cod_i;cod_j;status;motivo;metodo;tempo_ms;n_pdvs;peso_teste;t_atend_teste;t_total_teste;t_min_desloc
0;50.213;7.0;27.0;OK;;Exato;0.0;2;886.0;57.33;135.98000000000002;71.73333333333333
1;47.786;5.0;45.0;OK;;Exato;0.0;2;999.0;64.66;132.94333333333333;61.016666666666666
2;47.401;7.0;5.0;OK;;Exato;0.0;4;1885.0;121.99;210.05666666666667;61.016666666666666
3;47.401;7.0;45.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
4;45.198;5.0;27.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
5;45.198;5.0;7.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
6;44.929;7.0;28.0;OK;;Exato;0.0;5;2003.0;142.66;249.89333333333332;61.016666666666666
7;44.303;26.0;28.0;OK;;Exato;1.9602775573730469;6;3756.5;343.65999999999997;451.40999999999997;61.016666666666666
8;44.026;1.0;27.0;FALHA;ATENDIMENTO;;0.0;7;11052.2;644.66;0.0;0.0
9;43.992;14.0;45.0;OK;;Exato;16.987085342407227;7;4215.0;373.98999999999995;487.1066666666666;56.91666666666667
10;43.714;47.0;27.0;FALHA;TEMPO_TOTAL;Exato;102.72765159606934;8;4472.5;395.65999999999997;511.60999999999996;56.91666666666667
11;43.545;20.0;28.0;FALHA;TEMPO_TOTAL;Exato;93.71447563171387;8;4466.5;398.31999999999994;514.7033333333333;56.91666666666667
12;43.442;7.0;36.0;FALHA;TEMPO_TOTAL;Exato;87.76545524597168;8;4456.0;400.65999999999997;516.5266666666666;56.91666666666667
13;43.314;14.0;5.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
14;43.263;7.0;26.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
15;43.22;7.0;29.0;FALHA;TEMPO_TOTAL;Exato;94.74587440490723;8;4867.0;409.31999999999994;530.7866666666666;56.91666666666667
16;43.105;33.0;27.0;FALHA;TEMPO_TOTAL;Exato;89.76078033447266;8;4745.5;409.65999999999997;528.2766666666666;56.91666666666667
17;43.043;1.0;7.0;FALHA;ATENDIMENTO;;0.0;8;11510.7;674.99;0.0;0.0
18;42.762;14.0;7.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
19;42.762;14.0;27.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
20;42.702;28.0;26.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
21;42.612;9.0;27.0;FALHA;TEMPO_TOTAL;Exato;100.69465637207031;8;4571.0;403.98999999999995;523.8566666666666;56.91666666666667
22;42.606;10.0;27.0;FALHA;TEMPO_TOTAL;Exato;100.13771057128906;8;4582.5;399.65999999999997;519.61;56.91666666666667
23;42.531;28.0;27.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
24;42.322;22.0;28.0;FALHA;PESO;;0.0;8;14129.3;0.0;0.0;0.0
25;42.306;36.0;27.0;FALHA;TEMPO_TOTAL;Exato;99.86281394958496;8;4456.0;400.65999999999997;516.5266666666666;56.91666666666667
26;42.299;29.0;27.0;FALHA;TEMPO_TOTAL;Exato;101.80258750915527;8;4867.0;409.31999999999994;530.7866666666666;56.91666666666667
27;42.245;47.0;7.0;FALHA;TEMPO_TOTAL;Exato;100.61144828796387;8;4472.5;395.65999999999997;511.60999999999996;56.91666666666667
28;42.129;26.0;27.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
29;42.084;5.0;14.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
30;42.084;7.0;14.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
31;42.076;11.0;27.0;FALHA;TEMPO_TOTAL;Exato;120.87273597717285;8;4408.0;393.98999999999995;513.99;56.91666666666667
32;42.075;49.0;27.0;FALHA;TEMPO_TOTAL;Exato;108.21676254272461;8;5453.5;430.98999999999995;551.7233333333332;56.91666666666667
33;41.761;7.0;2.0;FALHA;TEMPO_TOTAL;Exato;118.66879463195801;8;4382.5;398.31999999999994;513.8699999999999;56.91666666666667
34;41.601;24.0;27.0;FALHA;TEMPO_TOTAL;Exato;93.77574920654297;8;4269.5;390.98999999999995;514.5233333333333;56.91666666666667
35;41.441;20.0;26.0;FALHA;TEMPO_TOTAL;Exato;91.75467491149902;8;4466.5;398.31999999999994;514.7033333333333;56.91666666666667
36;41.425;38.0;27.0;FALHA;TEMPO_TOTAL;Exato;91.75491333007812;8;5462.0;432.65999999999997;550.4599999999999;56.91666666666667
37;41.39;36.0;28.0;FALHA;TEMPO_TOTAL;Exato;91.75419807434082;8;4456.0;400.65999999999997;516.5266666666666;56.91666666666667
38;41.27;20.0;27.0;FALHA;TEMPO_TOTAL;Exato;108.43229293823242;8;4466.5;398.31999999999994;514.7033333333333;56.91666666666667
39;41.235;33.0;7.0;FALHA;TEMPO_TOTAL;Exato;88.99855613708496;8;4745.5;409.65999999999997;528.2766666666666;56.91666666666667
40;41.044;47.0;28.0;FALHA;TEMPO_TOTAL;Exato;90.40307998657227;8;4472.5;395.65999999999997;511.60999999999996;56.91666666666667
41;40.997;9.0;7.0;FALHA;TEMPO_TOTAL;Exato;88.01555633544922;8;4571.0;403.98999999999995;523.8566666666666;56.91666666666667
42;40.996;49.0;7.0;FALHA;TEMPO_TOTAL;Exato;90.18659591674805;8;5453.5;430.98999999999995;551.7233333333332;56.91666666666667
43;40.968;38.0;7.0;FALHA;TEMPO_TOTAL;Exato;90.48175811767578;8;5462.0;432.65999999999997;550.4599999999999;56.91666666666667
44;40.838;28.0;7.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
45;40.83;29.0;7.0;FALHA;TEMPO_TOTAL;Exato;90.08026123046875;8;4867.0;409.31999999999994;530.7866666666666;56.91666666666667
46;40.737;10.0;7.0;FALHA;TEMPO_TOTAL;Exato;89.64729309082031;8;4582.5;399.65999999999997;519.61;56.91666666666667
47;40.553;45.0;5.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
48;40.486;27.0;7.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
49;40.475;1.0;28.0;FALHA;ATENDIMENTO;;0.0;8;11510.7;674.99;0.0;0.0
50;40.452;7.0;1.0;FALHA;ATENDIMENTO;;0.0;8;11510.7;674.99;0.0;0.0
51;40.436;26.0;7.0;SKIP;MESMA_ROTA;;0.0;0;0.0;0.0;0.0;0.0
