ROTA_NUMERO;tipo_rota;qtde_pdvs;sequencia_pdvs;peso_total_kg;utilizacao_peso_perc;volume_total_m3;tempo_total_min;utilizacao_tempo_perc;tempo_atendimento_min;tempo_deslocamento_min;distancia_total_km;distancia_deslocamento_km;distancia_laco_km;qtde_caixas_LATA;qtde_caixas_PET;qtde_caixas_GARRAFA
D1;Dedicada;1;CDD -> 15 -> CDD;11999.1;99.99;27.8;451.67;88.56;417.0;34.67;22.31;22.31;0;0;207;411
D2;Dedicada;1;CDD -> 26 -> CDD;11997.6;99.98;27.09;492.11;96.49;419.33;72.78;42.76;42.76;0;2;122;456
R1;Individual;1;CDD -> 1 -> CDD;7295.7;60.8;16.95;382.2;74.94;301.0;81.2;37.55;37.55;0;195;174;186
R10;Individual;1;CDD -> 10 -> CDD;367.5;3.06;0.79;95.52;18.73;25.67;69.85;34.37;34.37;0;5;0;15
R11;Individual;1;CDD -> 11 -> CDD;193.0;1.61;0.42;89.9;17.63;20.0;69.9;33.63;33.63;0;2;0;8
R12;Individual;1;CDD -> 12 -> CDD;213.5;1.78;0.42;67.64;13.26;25.67;41.97;25.77;25.77;0;27;0;4
R13;Individual;1;CDD -> 13 -> CDD;23.0;0.19;0.05;72.82;14.28;14.67;58.15;30.16;30.16;0;0;0;1
R14;Individual;1;CDD -> 14 -> CDD;458.5;3.82;0.97;87.25;17.11;30.33;56.92;44.58;44.58;0;15;0;17
R15;Individual;1;CDD -> 15 -> CDD;4339.5;36.16;11.0;285.67;56.01;251.0;34.67;22.31;22.31;0;281;250;0
R16;Individual;1;CDD -> 16 -> CDD;11180.8;93.17;27.91;470.86;92.33;409.33;61.53;33.13;33.13;0;209;481;188
R17;Individual;1;CDD -> 17 -> CDD;671.0;5.59;1.45;94.45;18.52;34.67;59.78;30.03;30.03;0;6;0;28
R18;Individual;1;CDD -> 18 -> CDD;10592.6;88.27;24.2;489.42;95.96;426.0;63.42;39.66;39.66;0;345;217;277
R19;Individual;1;CDD -> 19 -> CDD;606.0;5.05;1.3;53.23;10.44;34.0;19.23;12.78;12.78;0;12;0;24
R2;Individual;1;CDD -> 2 -> CDD;167.5;1.4;0.32;88.0;17.25;24.33;63.67;38.57;38.57;0;27;0;2
R20;Individual;1;CDD -> 20 -> CDD;251.5;2.1;0.52;100.5;19.71;24.33;76.17;38.98;38.98;0;15;0;8
R21;Individual;1;CDD -> 21 -> CDD;829.5;6.91;1.75;88.28;17.31;44.33;43.95;26.27;26.27;0;31;0;30
R22;Individual;1;CDD -> 22 -> CDD;9914.3;82.62;22.12;453.97;89.01;387.67;66.3;38.62;38.62;0;242;121;319
R23;Individual;1;CDD -> 23 -> CDD;1063.5;8.86;2.25;110.7;21.71;52.33;58.37;29.75;29.75;0;37;0;39
R24;Individual;1;CDD -> 24 -> CDD;54.5;0.45;0.11;83.65;16.4;17.0;66.65;32.65;32.65;0;7;0;1
R25;Individual;1;CDD -> 25 -> CDD;356.0;2.97;0.72;77.37;15.17;30.0;47.37;26.22;26.22;0;28;0;10
R26;Individual;1;CDD -> 26 -> CDD;1753.5;14.61;3.18;273.78;53.68;201.0;72.78;42.76;42.76;0;376;5;0
R27;Individual;1;CDD -> 27 -> CDD;184.0;1.53;0.4;91.9;18.02;19.33;72.57;43.36;43.36;0;0;0;8
R28;Individual;1;CDD -> 28 -> CDD;118.0;0.98;0.23;97.32;19.08;20.67;76.65;47.44;47.44;0;16;0;2
R29;Individual;1;CDD -> 29 -> CDD;652.0;5.43;1.4;106.36;20.86;35.33;71.03;40.16;40.16;0;12;0;26
R3;Individual;1;CDD -> 3 -> CDD;81.0;0.68;0.14;65.97;12.93;20.0;45.97;29.34;29.34;0;18;0;0
R30;Individual;1;CDD -> 30 -> CDD;560.0;4.67;1.2;69.67;13.66;32.67;37.0;21.63;21.63;0;12;0;22
R31;Individual;1;CDD -> 31 -> CDD;386.0;3.22;0.83;90.25;17.7;26.0;64.25;42.95;42.95;0;4;0;16
R32;Individual;1;CDD -> 32 -> CDD;1306.0;10.88;2.75;106.27;20.84;62.0;44.27;27.62;27.62;0;50;0;47
R33;Individual;1;CDD -> 33 -> CDD;530.5;4.42;1.1;106.7;20.92;35.67;71.03;34.48;34.48;0;31;0;17
R34;Individual;1;CDD -> 34 -> CDD;131.0;1.09;0.24;71.8;14.08;22.67;49.13;27.85;27.85;0;24;0;1
R35;Individual;1;CDD -> 35 -> CDD;6727.3;56.06;16.78;318.82;62.51;257.0;61.82;31.76;31.76;0;71;276;131
R36;Individual;1;CDD -> 36 -> CDD;241.0;2.01;0.47;98.32;19.28;26.67;71.65;40.4;40.4;0;28;0;5
R37;Individual;1;CDD -> 37 -> CDD;615.5;5.13;1.32;89.92;17.63;33.67;56.25;35.79;35.79;0;9;0;25
R38;Individual;1;CDD -> 38 -> CDD;1247.0;10.39;2.64;127.79;25.06;58.67;69.12;32.28;32.28;0;42;0;46
R39;Individual;1;CDD -> 39 -> CDD;1155.5;9.63;2.45;122.9;24.1;55.0;67.9;38.22;38.22;0;37;0;43
R4;Individual;1;CDD -> 4 -> CDD;555.5;4.63;1.19;82.15;16.11;32.33;49.82;31.57;31.57;0;11;0;22
R40;Individual;1;CDD -> 40 -> CDD;4461.4;37.18;11.33;243.75;47.79;197.33;46.42;27.07;27.07;0;94;218;59
R41;Individual;1;CDD -> 41 -> CDD;1131.5;9.43;2.38;115.05;22.56;56.33;58.72;30.16;30.16;0;47;0;40
R42;Individual;1;CDD -> 42 -> CDD;425.5;3.55;0.88;89.62;17.57;31.0;58.62;29.43;29.43;0;23;0;14
R43;Individual;1;CDD -> 43 -> CDD;296.0;2.47;0.59;87.95;17.25;28.67;59.28;38.72;38.72;0;30;0;7
R44;Individual;1;CDD -> 44 -> CDD;706.5;5.89;1.5;98.56;19.33;38.33;60.23;38.98;38.98;0;19;0;27
R45;Individual;1;CDD -> 45 -> CDD;333.5;2.78;0.68;97.03;19.03;28.33;68.7;43.06;43.06;0;23;0;10
R46;Individual;1;CDD -> 46 -> CDD;825.5;6.88;1.75;91.92;18.02;43.0;48.92;26.8;26.8;0;25;0;31
R47;Individual;1;CDD -> 47 -> CDD;257.5;2.15;0.56;96.62;18.95;21.67;74.95;36.41;36.41;0;1;0;11
R48;Individual;1;CDD -> 48 -> CDD;358.0;2.98;0.76;84.43;16.56;26.0;58.43;29.96;29.96;0;8;0;14
R49;Individual;1;CDD -> 49 -> CDD;1238.5;10.32;2.63;124.03;24.32;57.0;67.03;33.38;33.38;0;35;0;47
R5;Individual;1;CDD -> 5 -> CDD;665.5;5.55;1.42;97.35;19.09;36.33;61.02;48.25;48.25;0;15;0;26
R50;Individual;1;CDD -> 50 -> CDD;572.5;4.77;1.2;98.14;19.24;35.67;62.47;33.66;33.66;0;25;0;20
R6;Individual;1;CDD -> 6 -> CDD;554.0;4.62;1.16;74.1;14.53;35.33;38.77;24.47;24.47;0;26;0;19
R7;Individual;1;CDD -> 7 -> CDD;702.0;5.85;1.49;110.02;21.57;38.0;72.02;51.64;51.64;0;18;0;27
R8;Individual;1;CDD -> 8 -> CDD;515.0;4.29;1.12;51.13;10.03;29.33;21.8;13.96;13.96;0;2;0;22
R9;Individual;1;CDD -> 9 -> CDD;356.0;2.97;0.72;100.43;19.69;30.0;70.43;34.0;34.0;0;28;0;10
